HUC_8,netchange,timechange,month,code
07080104,-6.26785714,July-August,8,12
07080105,234.7142857,July-August,8,13
07080106,2.44444444,July-August,8,14
07080107,13.8,July-August,8,15
07080201,56,July-August,8,16
07080202,47,July-August,8,17
07080203,1719.444445,July-August,8,18
07080204,-46.4,July-August,8,19
07080205,-67.3538462,July-August,8,20
07080206,-109.5,July-August,8,21
07080207,-66.5142857,July-August,8,22
07080208,167.1428571,July-August,8,23
07080209,-171.0833333,July-August,8,24
07100002,-136,July-August,8,25
07100003,-200,July-August,8,26
07100004,-10.37254902,July-August,8,27
07100005,-1.83333333,July-August,8,28
07100006,-547.4798853,July-August,8,29
07100007,-39.33333333,July-August,8,30
07100008,-33.82352937,July-August,8,31
07100009,-14.1,July-August,8,32
07110001,NA,July-August,8,33
07110002,NA,July-August,8,34
10170203,-3445.75,July-August,8,35
10170204,NA,July-August,8,36
10230001,276.4,July-August,8,37
10230002,-254.5833333,July-August,8,38
10230003,-406.1833333,July-August,8,39
10230004,-3410,July-August,8,40
10230005,-590,July-August,8,41
10230006,-240.25,July-August,8,42
10230007,245.75,July-August,8,43
10240001,NA,July-August,8,44
10240002,257.6666667,July-August,8,45
10240003,-20.26666667,July-August,8,46
10240004,NA,July-August,8,47
10240005,NA,July-August,8,48
10240009,-52.175,July-August,8,49
10240010,NA,July-August,8,50
10240012,-12.25,July-August,8,51
10240013,-74.2,July-August,8,52
10280101,NA,July-August,8,53
10280102,309.1168831,July-August,8,54
10280103,NA,July-August,8,55
10280201,-327.5555556,July-August,8,56
07020009,NA,August-September,9,1
07040008,NA,August-September,9,2
07060001,13963.5,August-September,9,3
07060002,1148,August-September,9,4
07060003,NA,August-September,9,5
07060004,11069.5,August-September,9,6
07060005,NA,August-September,9,7
07060006,6848.45,August-September,9,8
07080101,NA,August-September,9,9
07080102,20,August-September,9,10
07080103,150,August-September,9,11
07080104,NA,August-September,9,12
07080105,1093.085714,August-September,9,13
07080106,305.6666667,August-September,9,14
07080107,154,August-September,9,15
07080201,-61,August-September,9,16
07080202,-58,August-September,9,17
07080203,-1639.777778,August-September,9,18
07080204,16.9,August-September,9,19
07080205,-52.5128205,August-September,9,20
07080206,87,August-September,9,21
07080207,-55.53333333,August-September,9,22
07080208,16.4,August-September,9,23
07080209,2060.2,August-September,9,24
07100002,696,August-September,9,25
07100003,1930,August-September,9,26
07100004,5455.705882,August-September,9,27
07100005,1977.333333,August-September,9,28
07100006,-532.25,August-September,9,29
07100007,1679.333333,August-September,9,30
07100008,3613.941176,August-September,9,31
07100009,1365.4,August-September,9,32
07110001,NA,August-September,9,33
07110002,NA,August-September,9,34
10170203,119.75,August-September,9,35
10170204,NA,August-September,9,36
10230001,-519.4,August-September,9,37
10230002,-5.6666667,August-September,9,38
10230003,41.65,August-September,9,39
10230004,-127,August-September,9,40
10230005,-140,August-September,9,41
10230006,-112.5,August-September,9,42
10230007,-12.5,August-September,9,43
10240001,NA,August-September,9,44
10240002,NA,August-September,9,45
10240003,-25.4,August-September,9,46
10240004,NA,August-September,9,47
10240005,NA,August-September,9,48
10240009,-6.625,August-September,9,49
10240010,NA,August-September,9,50
10240012,2.25,August-September,9,51
10240013,NA,August-September,9,52
10280101,NA,August-September,9,53
10280102,1522.121213,August-September,9,54
10280103,NA,August-September,9,55
10280201,127.6666667,August-September,9,56
07020009,NA,September-October,10,1
07040008,NA,September-October,10,2
07060001,-13997.5,September-October,10,3
07060002,-1137,September-October,10,4
07060003,NA,September-October,10,5
07060004,-11064,September-October,10,6
07060005,NA,September-October,10,7
07060006,-6884.916667,September-October,10,8
07080101,NA,September-October,10,9
07080102,-84,September-October,10,10
07080103,-107,September-October,10,11
07080104,NA,September-October,10,12
07080105,-1489.466667,September-October,10,13
07080106,-155.6666667,September-October,10,14
07080107,205,September-October,10,15
07080201,-5,September-October,10,16
07080202,-11,September-October,10,17
07080203,NA,September-October,10,18
07080204,-23.5,September-October,10,19
07080205,42.6666667,September-October,10,20
07080206,-124.5,September-October,10,21
07080207,106.3333333,September-October,10,22
07080208,-66.4,September-October,10,23
07080209,-2038.95,September-October,10,24
07100002,-650,September-October,10,25
07100003,-2037,September-October,10,26
07100004,-5300,September-October,10,27
07100005,-1959,September-October,10,28
07100006,37.8333333,September-October,10,29
07100007,-1560,September-October,10,30
07100008,-3407.5,September-October,10,31
07100009,-1260,September-October,10,32
07110001,NA,September-October,10,33
07110002,NA,September-October,10,34
10170203,-77,September-October,10,35
10170204,NA,September-October,10,36
10230001,-15,September-October,10,37
10230002,9,September-October,10,38
10230003,62.1,September-October,10,39
10230004,107,September-October,10,40
10230005,10,September-October,10,41
10230006,NA,September-October,10,42
10230007,-120,September-October,10,43
10240001,NA,September-October,10,44
10240002,NA,September-October,10,45
10240003,NA,September-October,10,46
10240004,NA,September-October,10,47
10240005,NA,September-October,10,48
10240009,NA,September-October,10,49
10240010,NA,September-October,10,50
10240012,NA,September-October,10,51
10240013,NA,September-October,10,52
10280101,NA,September-October,10,53
10280102,-1516.666667,September-October,10,54
10280103,NA,September-October,10,55
10280201,-92,September-October,10,56
07020009,NA,October-November,11,1
07040008,NA,October-November,11,2
07060001,12.5,October-November,11,3
07060002,-43,October-November,11,4
07060003,NA,October-November,11,5
07060004,139,October-November,11,6
07060005,NA,October-November,11,7
07060006,6,October-November,11,8
07080101,NA,October-November,11,9
07080102,34,October-November,11,10
07080103,13,October-November,11,11
07080104,NA,October-November,11,12
07080105,-90,October-November,11,13
07080106,-30,October-November,11,14
07080107,-469,October-November,11,15
07080201,-16,October-November,11,16
07080202,-10,October-November,11,17
07080203,NA,October-November,11,18
07080204,0,October-November,11,19
07080205,-85.33333333,October-November,11,20
07080206,-5.5,October-November,11,21
07080207,-120,October-November,11,22
07080208,-80,October-November,11,23
07080209,24.5,October-November,11,24
07100002,-100,October-November,11,25
07100003,-53,October-November,11,26
07100004,1000,October-November,11,27
07100005,-31,October-November,11,28
07100006,940,October-November,11,29
07100007,-20,October-November,11,30
07100008,51.25,October-November,11,31
07100009,109,October-November,11,32
07110001,NA,October-November,11,33
07110002,NA,October-November,11,34
10170203,1537,October-November,11,35
10170204,NA,October-November,11,36
10230001,23850,October-November,11,37
10230002,1090,October-November,11,38
10230003,8444,October-November,11,39
10230004,4230,October-November,11,40
10230005,2040,October-November,11,41
10230006,NA,October-November,11,42
10230007,NA,October-November,11,43
10240001,NA,October-November,11,44
10240002,NA,October-November,11,45
10240003,NA,October-November,11,46
10240004,NA,October-November,11,47
10240005,NA,October-November,11,48
10240009,NA,October-November,11,49
10240010,NA,October-November,11,50
10240012,NA,October-November,11,51
10240013,NA,October-November,11,52
10280101,NA,October-November,11,53
10280102,-337,October-November,11,54
10280103,NA,October-November,11,55
10280201,-55,October-November,11,56
